time,cr
290,CR5B
159,CR6B
90,CR6B
208,CR6B
223,CR6B
129,CR6B
3265,CR6B
188,CR6B
163,CR6B
176,CR6B
159,CR6B
134,CR6B
129,CR6B
274,CR6B
285,CR6B
121,CR6B
134,CR6B
219,CR6B
92,CR6B
216,CR6B
493,CR6B
88,CR6B
360,CR6B
110,CR6B
201,CR6B
172,CR6B
214,CR6B
498,CR6B
167,CR6B
192,CR8B
810,CR8B
266,CR8B
513,CR8B
198,CR8B
305,CR8B
349,CR8B
539,CR8B
406,CR8B
205,CR8B
331,CR8B
435,CR8B
355,CR8B
197,CR8B
1111,CR8B
259,CR8B
389,CR8B
351,CR8B
363,CR8B
223,CR8B
476,CR8B
393,CR8B
348,CR8B
249,CR8B
701,CR8B
374,CR8B
206,CR8B
24,CR2B
12,CR2B
10,CR2B
14,CR2B
14,CR2B
12,CR2B
14,CR2B
33,CR2B
11,CR2B
13,CR2B
16,CR2B
19,CR2B
19,CR2B
16,CR2B
21,CR2B
12,CR2B
13,CR2B
13,CR2B
9,CR2B
16,CR2B
14,CR2B
15,CR2B
20,CR2B
16,CR2B
16,CR2B
9,CR2B
19,CR2B
10,CR2B
9,CR2B
19,CR2B
9,CR2B
18,CR2B
14,CR2B
16,CR2B
18,CR2B
22,CR2B
23,CR2B
13,CR2B
11,CR2B
15,CR2B
22,CR2B
16,CR2B
11,CR2B
11,CR2B
17,CR2B
13,CR2B
15,CR2B
19,CR2B
14,CR2B
17,CR2B
14,CR2B
13,CR2B
12,CR2B
11,CR2B
10,CR2B
12,CR2B
14,CR2B
12,CR2B
12,CR2B
10,CR2B
10,CR2B
12,CR2B
14,CR2B
11,CR2B
10,CR2B
13,CR2B
13,CR2B
15,CR2B
10,CR2B
11,CR2B
10,CR2B
12,CR2B
10,CR2B
8,CR2B
16,CR2B
16,CR2B
10,CR2B
13,CR2B
21,CR2B
11,CR2B
17,CR2B
13,CR2B
11,CR2B
13,CR2B
12,CR2B
6,CR2B
14,CR2B
20,CR2B
22,CR2B
16,CR2B
18,CR2B
10,CR2B
7,CR2B
17,CR2B
13,CR2B
40,CR2B
10,CR2B
13,CR2B
9,CR2B
20,CR2B
15,CR2B
9,CR2B
11,CR2B
15,CR2B
14,CR2B
13,CR2B
13,CR2B
11,CR2B
9,CR2B
14,CR2B
7,CR2B
17,CR2B
11,CR2B
15,CR2B
13,CR2B
