time,model_name,size
104,S1,10364
101,S1,10364
147,S1,10364
141,S1,10364
83,S1,10364
84,S1,10364
100,S1,10364
140,S1,10364
86,S1,10364
80,S1,10364
110,S1,10364
88,S1,10364
98,S1,10364
128,S1,10364
112,S1,10364
114,S1,10364
102,S1,10364
183,S1,10364
105,S1,10364
144,S1,10364
126,S1,10364
90,S1,10364
89,S1,10364
81,S1,10364
138,S1,10364
90,S1,10364
84,S1,10364
124,S1,10364
146,S1,10364
116,S1,10364
116,S1,10364
127,S1,10364
104,S1,10364
132,S1,10364
85,S1,10364
92,S1,10364
105,S1,10364
130,S1,10364
154,S1,10364
100,S1,10364
117,S1,10364
118,S1,10364
124,S1,10364
115,S1,10364
79,S1,10364
124,S1,10364
126,S1,10364
96,S1,10364
126,S1,10364
98,S1,10364
185,S1,10364
229,S1,10364
131,S1,10364
131,S1,10364
119,S1,10364
119,S1,10364
98,S1,10364
132,S1,10364
123,S1,10364
82,S1,10364
111,S1,10364
15,S1,10364
15,S1,10364
14,S1,10364
14,S1,10364
8,S1,10364
10,S1,10364
15,S1,10364
15,S1,10364
18,S1,10364
16,S1,10364
12,S1,10364
10,S1,10364
13,S1,10364
25,S1,10364
15,S1,10364
19,S1,10364
14,S1,10364
19,S1,10364
16,S1,10364
17,S1,10364
7,S1,10364
16,S1,10364
15,S1,10364
18,S1,10364
16,S1,10364
13,S1,10364
52,S1,10364
7,S1,10364
10,S1,10364
19,S1,10364
12,S1,10364
16,S1,10364
9,S1,10364
8,S1,10364
21,S1,10364
9,S1,10364
8,S1,10364
10,S1,10364
9,S1,10364
16,S1,10364
12,S1,10364
15,S1,10364
8,S1,10364
9,S1,10364
13,S1,10364
14,S1,10364
11,S1,10364
87,S1,10364
79,S1,10364
137,S1,10364
88,S1,10364
118,S1,10364
119,S1,10364
80,S1,10364
115,S1,10364
78,S1,10364
127,S1,10364
127,S1,10364
148,S1,10364
79,S1,10364
85,S1,10364
130,S1,10364
120,S1,10364
219,S1,10364
208,S1,10364
83,S1,10364
79,S1,10364
105,S1,10364
159,S1,10364
116,S1,10364
118,S1,10364
136,S1,10364
95,S1,10364
112,S1,10364
102,S1,10364
205,S1,10364
204,S1,10364
389,S1,10364
381,S1,10364
303,S1,10364
216,S1,10364
304,S1,10364
210,S1,10364
221,S1,10364
248,S1,10364
270,S1,10364
312,S1,10364
354,S1,10364
231,S1,10364
298,S1,10364
650,S1,10364
293,S1,10364
318,S1,10364
346,S1,10364
570,S1,10364
197,S1,10364
207,S1,10364
373,S1,10364
304,S1,10364
288,S1,10364
237,S1,10364
201,S1,10364
333,S1,10364
181,S1,10364
157,S1,10364
205,S1,10364
147,S1,10364
174,S1,10364
221,S1,10364
147,S1,10364
321,S1,10364
263,S1,10364
183,S1,10364
117,S1,10364
128,S1,10364
123,S1,10364
129,S1,10364
128,S1,10364
121,S1,10364
383,S1,10364
228,S1,10364
361,S1,10364
220,S1,10364
291,S1,10364
346,S1,10364
469,S1,10364
383,S1,10364
254,S1,10364
226,S1,10364
334,S1,10364
306,S1,10364
505,S1,10364
331,S1,10364
234,S1,10364
394,S1,10364
354,S1,10364
328,S1,10364
231,S1,10364
461,S1,10364
320,S1,10364
379,S1,10364
210,S1,10364
234,S1,10364
236,S1,10364
244,S1,10364
217,S1,10364
206,S1,10364
304,S1,10364
549,S1,10364
231,S1,10364
342,S1,10364
615,S1,10364
355,S1,10364
285,S1,10364
508,S1,10364
545,S1,10364
269,S1,10364
226,S1,10364
378,S1,10364
368,S1,10364
536,S1,10364
373,S1,10364
277,S1,10364
351,S1,10364
274,S1,10364
290,S1,10364
213,S1,10364
356,S1,10364
438,S1,10364
